Desempleo,Mujer,EdadJun24,roa,tep_descripcion_clean,SinEduc,Primaria,Secundaria,Superior,apo_salario,Antiguedad,Nivel_Educacion,Genero
0,0,44,0.0,"FUNCION EJECUTIVA, LEGISL, JUDICIAL Y ORGANISMOS DEL ESTADO",0,0,1,0,578.0,52,Secundaria,Hombre
1,1,53,0.0,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,0,1,500.0,22,Superior,Mujer
0,1,25,3.9159575,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,0,1,1464.0,36,Superior,Mujer
1,1,36,0.0,EMPRESA UNIPERSONAL /  PEQUEÑA INDUSTRIA,0,1,0,0,461.0,38,Primaria,Mujer
1,1,40,7.397831,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,1,0,0,472.0,59,Primaria,Mujer
0,1,22,9.39146,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,475.0,0,Secundaria,Mujer
1,1,43,3.155199,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,630.0,237,Secundaria,Mujer
0,0,56,28.602795,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,0,1,6476.0,236,Superior,Hombre
0,1,28,0.0,"FUNCION EJECUTIVA, LEGISL, JUDICIAL Y ORGANISMOS DEL ESTADO",0,0,1,0,817.0,13,Secundaria,Mujer
0,0,21,19.421463,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,465.0,2,Secundaria,Hombre
0,0,35,1.4761328,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,460.0,11,Secundaria,Hombre
0,0,40,0.0,CONSTRUCCION,0,0,0,1,535.0,86,Superior,Hombre
1,0,57,0.0,EMPRESA UNIPERSONAL /  PEQUEÑA INDUSTRIA,0,0,1,0,465.0,159,Secundaria,Hombre
0,1,37,0.0,EMPLEADOR DOMESTICO,0,1,0,0,460.0,40,Primaria,Mujer
0,1,31,0.0,"FUNCION EJECUTIVA, LEGISL, JUDICIAL Y ORGANISMOS DEL ESTADO",0,0,1,0,986.0,90,Secundaria,Mujer
1,0,29,2.06534,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,0,1,500.0,56,Superior,Hombre
